feature_name,missing_rate,pitcher_cutoff_coverage,median,iqr,p01,p99,extreme_value_count,stability_score
tm_rel_side_drift_relative_league,0.4252199413489736,1764,0.006628452282063407,0.05379449832930168,-0.19725633902638273,0.22175808872392797,54,0.5454384697987033
tm_rel_side_recent1_minus_longterm,0.4252199413489736,1764,0.0,0.05408956382324996,-0.21340933647585192,0.2101121591348199,47,0.545285788207847
tm_rel_side_pitch_type_adjusted_drift,0.4252199413489736,1764,0.0,0.05891342060276011,-0.21474843841111307,0.20052264556761473,36,0.5428017508021072
tm_rel_side_abs_drift,0.4252199413489736,1764,0.0268741210324909,0.06037758264058672,0.0,0.25906553829218937,21,0.5420522538959098
tm_extension_pitch_type_adjusted_drift,0.4252199413489736,1764,-0.021445165257363535,0.07341061958872727,-0.16095815048385637,0.06402875496129379,0,0.5354708143946358
tm_extension_abs_drift,0.4252199413489736,1764,0.030612141837911055,0.07750266786889543,0.0,0.18496322028460715,0,0.5334372487335339
tm_extension_recent1_minus_longterm,0.4252199413489736,1764,-0.020550687465303197,0.07919553622402409,-0.18496322028460718,0.06867264631625443,0,0.532600478187774
tm_extension_drift_relative_league,0.4252199413489736,1764,0.013108744460303745,0.08883482417188948,-0.1075539802334674,0.12098503092155187,0,0.5278854477199275
tm_rel_height_recent1_mean,0.4252199413489736,1764,1.7591871677604594,0.1573446228996107,0.7409667572514546,1.988554436712229,101,0.4966369111483602
tm_extension_recent1_mean,0.4252199413489736,1764,1.7204407393939394,0.17796800400770563,1.4312829226651418,2.0595749051236614,0,0.4879419956191497
tm_rel_speed_recent2_minus_longterm,0.26881720430107525,2244,0.0,0.5442663233252745,-3.949486645758028,3.7621334553301033,229,0.47348231626554294
tm_rel_height_recent_vs_old,0.5461062235255784,1393,0.004904231395417513,0.0585264488110846,-0.19386244294997004,0.20772275184958788,28,0.4287977659738459
tm_extension_recent_vs_old,0.5461062235255784,1393,-0.06955649980078604,0.12267728911302767,-0.2517671241098092,0.11486586139954356,0,0.40429585676665897
tm_rel_side_recent_vs_old,0.5461062235255784,1393,0.0032637893004059393,0.12757026760868034,-0.32832432721070476,0.33118315882887134,7,0.4025414552984152
tm_rel_side_recent2_mean,0.26881720430107525,2244,0.44266736680644453,0.8417875359768899,-0.9111673607142857,1.0865284472124883,0,0.3969962774838212
tm_horz_break_recent2_minus_longterm,0.26881720430107525,2244,0.0,1.0402972217048116,-6.354943161217393,9.039833368946717,266,0.35837072555927424
tm_rel_side_recent1_mean,0.4252199413489736,1764,0.4391650134109495,0.8428198360152306,-0.9027386798489011,1.0862065214902499,0,0.31190247001784277
tm_induced_vert_break_recent2_minus_longterm,0.26881720430107525,2244,0.0,1.7395723074708904,-11.061604859240477,5.522992155433421,108,0.26689669540934136
tm_rel_speed_recent1_minus_longterm,0.4252199413489736,1764,0.0,1.3337637633252726,-5.492592383547335,5.1628365419807976,52,0.24628887794197676
tm_rel_speed_pitch_type_adjusted_drift,0.4252199413489736,1764,0.22104064591592057,1.389156861022547,-2.8425877466315312,4.6344465389645375,12,0.24057861918912407
tm_rel_speed_drift_relative_league,0.4252199413489736,1764,-0.34531197209899744,1.3952941874496858,-5.87138964342525,4.818961737542107,46,0.23996219823962645
tm_rel_speed_slope,0.3385467579015966,2030,0.11030730061351109,1.9236445411990468,-5.668280884595828,4.629319832279356,8,0.2262427024822682
tm_rel_speed_abs_drift,0.4252199413489736,1764,0.66602561684779,1.5641905582469562,0.0,6.308170957519769,18,0.22415653033368263
tm_horz_break_pitch_type_adjusted_drift,0.4252199413489736,1764,0.0,2.386449348009499,-6.8290807464137036,8.222769630440315,22,0.1697294126040518
tm_induced_vert_break_pitch_type_adjusted_drift,0.4252199413489736,1764,0.0,2.6609311541244023,-9.219688255568265,6.281725360640203,19,0.15700378795801162
tm_horz_break_drift_relative_league,0.4252199413489736,1764,0.21085511000478085,2.7269393329693288,-9.528220527279439,10.982847076122692,48,0.15422307885894332
tm_horz_break_recent1_minus_longterm,0.4252199413489736,1764,0.0,2.756443400237828,-10.05655856717867,10.695809113627627,47,0.1530117713512297
tm_rel_speed_longterm_mean,0.0,3069,134.97612729124236,5.97680658470523,116.49422727272727,145.2791683183313,13,0.14333205139902128
tm_induced_vert_break_recent1_minus_longterm,0.4252199413489736,1764,-0.42456535338280865,3.05121961045855,-13.570883691489902,7.171646182268314,44,0.14187827714083565
tm_horz_break_abs_drift,0.4252199413489736,1764,1.3917261934241338,3.071110404728085,0.0,12.456772353702187,19,0.1411850825719419
tm_horz_break_slope,0.3385467579015966,2030,0.37082336034046726,3.8082987423479837,-10.783148034604881,14.341494431385282,38,0.13756492213614066
tm_induced_vert_break_slope,0.3385467579015966,2030,-1.27071254044801,4.206045348674516,-13.108537455599546,11.207162555974845,18,0.12705483679023513
tm_induced_vert_break_abs_drift,0.4252199413489736,1764,1.6081986621994737,3.5794227677223844,0.0,13.69152529647711,14,0.12551364829259873
tm_induced_vert_break_drift_relative_league,0.4252199413489736,1764,0.740697613221565,3.616180567574073,-11.313731962796302,9.424271844038477,21,0.12451420611414445
tm_rel_speed_recent_vs_old,0.5461062235255784,1393,0.08142459662707324,3.2561711732821834,-7.11748930475571,7.7363188038160935,0,0.106643684662804
tm_rel_speed_recent2_mean,0.26881720430107525,2244,135.39677293395226,5.949739824346409,120.01269969036697,145.75983996971692,9,0.10521009623085985
tm_rel_speed_recent1_mean,0.4252199413489736,1764,135.6649603322025,5.8102231087418374,122.27251123196449,145.98497837406177,6,0.08439959300499553
tm_induced_vert_break_longterm_mean,0.0,3069,29.81949954054054,12.794516626838398,1.0953956894477346,53.963870588235295,0,0.07249257274114379
tm_horz_break_recent_vs_old,0.5461062235255784,1393,0.11383483061771216,6.780588080699446,-13.23357990520326,17.34334506951937,5,0.05833669277523535
tm_induced_vert_break_recent_vs_old,0.5461062235255784,1393,-2.390681618864125,7.420817285991443,-20.018581938136958,10.806100807783714,3,0.05390139235410111
tm_induced_vert_break_recent2_mean,0.26881720430107525,2244,28.000157741882923,12.981357154737612,-3.801141000766167,49.22445438117563,0,0.05229698287559745
tm_horz_break_longterm_mean,0.0,3069,11.734670261473996,20.851888377084187,-26.572114534068117,40.54147857142857,0,0.04576263537245083
tm_induced_vert_break_recent1_mean,0.4252199413489736,1764,26.943072394428295,13.03607447882765,-5.243496428673812,48.65233974563805,0,0.0409502001088722
tm_spin_rate_recent2_minus_longterm,0.26881720430107525,2244,0.0,20.192081644897144,-147.45553163868996,98.77507073312469,191,0.03450264150312892
tm_horz_break_recent2_mean,0.26881720430107525,2244,11.62005690019345,21.379894220948813,-27.65741221198157,41.91099102709209,0,0.03267141428284757
tm_horz_break_recent1_mean,0.4252199413489736,1764,11.332223267869107,21.528593375679314,-28.85163188926723,42.974368674992064,0,0.025513357583679803
tm_spin_rate_pitch_type_adjusted_drift,0.4252199413489736,1764,0.0,44.12636595880029,-122.58909911192731,121.06281004064701,11,0.012737122665179646
tm_spin_rate_drift_relative_league,0.4252199413489736,1764,-4.834507727853179,45.862004584279305,-192.0684808428682,126.23708939967564,39,0.012265374982355037
tm_spin_rate_recent1_minus_longterm,0.4252199413489736,1764,0.0,46.2352286419071,-186.5853592291015,131.83118776168828,37,0.01216846144661363
tm_spin_rate_abs_drift,0.4252199413489736,1764,22.163017923346388,49.88029446986798,0.0,189.67522052767305,12,0.01129671250215384
tm_spin_rate_slope,0.3385467579015966,2030,-7.031823440643796,61.60010352939097,-206.8596142619869,152.7399135686465,23,0.010566328245573088
tm_spin_rate_longterm_mean,0.0,3069,2154.61156219865,208.59635371624313,1741.4547727272727,2535.7026204340923,0,0.004771075365909396
tm_spin_rate_recent_vs_old,0.5461062235255784,1393,-10.096357807805589,107.31174559002875,-271.2271099441307,190.8205449979418,0,0.0041906237777060385
tm_spin_rate_recent2_mean,0.26881720430107525,2244,2165.67252632081,212.942182384254,1714.410126202802,2550.736675000001,0,0.003417665406374481
tm_spin_rate_recent1_mean,0.4252199413489736,1764,2169.3252085243294,215.28714256260855,1690.4241687251424,2555.6532142959,0,0.002657486024554812
