cutoff_year,pitcher_trackman_id,pitcher_id,tm_history_pitch_count,tm_drift_timepoints,feature_value,feature_name
2023,66715,23324.0,67,1,2.031566417910448,tm_rel_height_recent2_mean
2023,68804,,232,2,-34.48331934913793,tm_induced_vert_break_recent2_minus_longterm
2024,68804,,232,2,-34.48331934913793,tm_induced_vert_break_recent2_minus_longterm
2023,68109,23423.0,576,2,-22.474861168379448,tm_induced_vert_break_recent2_minus_longterm
2025,50105,,299,3,-21.38026571183882,tm_induced_vert_break_recent2_minus_longterm
2022,69408,,681,2,21.358654050023397,tm_induced_vert_break_recent2_minus_longterm
2022,521655,,2555,1,2.0459500355590676,tm_rel_height_recent1_mean
2023,521655,,5080,2,2.0353438237639554,tm_rel_height_recent1_mean
2025,51408,,1371,4,2.0341339002932552,tm_rel_height_recent1_mean
2022,66715,,67,1,2.031566417910448,tm_rel_height_recent1_mean
2024,68406,23786.0,2411,3,2.0273112831241282,tm_rel_height_recent1_mean
2023,68109,23423.0,576,2,-0.38847915271543054,tm_rel_height_drift_relative_league
2025,68093,,1140,4,0.3814913294673157,tm_rel_height_drift_relative_league
2024,68093,23462.0,1083,3,0.3737991010720577,tm_rel_height_drift_relative_league
2025,69703,22583.0,1805,5,0.34979043987810354,tm_rel_height_drift_relative_league
2024,69703,22583.0,1714,4,0.30987715669581606,tm_rel_height_drift_relative_league
2023,68109,23423.0,576,2,-0.39299528396135264,tm_rel_height_recent1_minus_longterm
2025,68093,,1140,4,0.3846254383636083,tm_rel_height_recent1_minus_longterm
2024,68093,23462.0,1083,3,0.36583926389365773,tm_rel_height_recent1_minus_longterm
2025,69703,22583.0,1805,5,0.35292454877439616,tm_rel_height_recent1_minus_longterm
2023,60140,,2697,4,-0.30226336711964485,tm_rel_height_recent1_minus_longterm
2025,53704,24065.0,180,2,0.3071585324074073,tm_rel_height_slope
2023,66201,24118.0,532,2,-0.29378010953346845,tm_rel_height_slope
2022,66201,,532,2,-0.29378010953346845,tm_rel_height_slope
2022,68453,,760,2,0.27152866452349605,tm_rel_height_slope
2023,68453,,760,2,0.27152866452349605,tm_rel_height_slope
2023,67828,23312.0,2290,4,1.074145827558394,tm_rel_side_drift_relative_league
2024,69035,,562,4,0.5858673196307538,tm_rel_side_drift_relative_league
2023,79358,,2638,4,0.35721059306766784,tm_rel_side_drift_relative_league
2025,61365,22318.0,5054,6,0.34915606464767596,tm_rel_side_drift_relative_league
2022,69158,,808,3,0.34713939846485553,tm_rel_side_drift_relative_league
2023,68804,,232,2,-9.047438328912435,tm_rel_speed_recent1_minus_longterm
2025,69745,,4361,5,8.100427202099297,tm_rel_speed_recent1_minus_longterm
2023,76455,21795.0,4220,4,-7.784490577516621,tm_rel_speed_recent1_minus_longterm
2024,51895,24056.0,2248,3,-7.68000767682075,tm_rel_speed_recent1_minus_longterm
2024,68093,23462.0,1083,3,7.654433207436142,tm_rel_speed_recent1_minus_longterm
2023,67828,23312.0,2290,4,38.67087733671179,tm_horz_break_drift_relative_league
2024,68093,23462.0,1083,3,25.885911567060745,tm_horz_break_drift_relative_league
2024,69035,,562,4,19.092442959050132,tm_horz_break_drift_relative_league
2023,68109,23423.0,576,2,18.480861586159847,tm_horz_break_drift_relative_league
2025,68093,,1140,4,17.56111236552199,tm_horz_break_drift_relative_league
2023,67828,23312.0,2290,4,1.0814596818769249,tm_rel_side_recent1_minus_longterm
2024,69035,,562,4,0.571456488957145,tm_rel_side_recent1_minus_longterm
2023,79358,,2638,4,0.36452444738619877,tm_rel_side_recent1_minus_longterm
2025,68093,,1140,4,-0.34814777781400397,tm_rel_side_recent1_minus_longterm
2022,69158,,808,3,0.3466994849860226,tm_rel_side_recent1_minus_longterm
2023,67828,23312.0,2290,4,39.07502408569292,tm_horz_break_recent1_minus_longterm
2024,68093,23462.0,1083,3,25.675056457055966,tm_horz_break_recent1_minus_longterm
2023,68109,23423.0,576,2,18.885008335140977,tm_horz_break_recent1_minus_longterm
2024,69035,,562,4,18.881587849045353,tm_horz_break_recent1_minus_longterm
2023,69984,,179,2,16.782485552742894,tm_horz_break_recent1_minus_longterm
2023,68804,,232,2,-9.710419281505935,tm_rel_speed_drift_relative_league
2023,76455,21795.0,4220,4,-8.447471530110121,tm_rel_speed_drift_relative_league
2024,51895,24056.0,2248,3,-8.013285360696997,tm_rel_speed_drift_relative_league
2025,69745,,4361,5,7.684347807265397,tm_rel_speed_drift_relative_league
2024,68093,23462.0,1083,3,7.321155523559895,tm_rel_speed_drift_relative_league
2023,68804,,232,2,-34.48331934913793,tm_induced_vert_break_recent1_minus_longterm
2023,68109,23423.0,576,2,-22.474861168379448,tm_induced_vert_break_recent1_minus_longterm
2025,64017,,2880,4,-22.33829860435613,tm_induced_vert_break_recent1_minus_longterm
2025,50105,,299,3,-21.38026571183882,tm_induced_vert_break_recent1_minus_longterm
2023,60841,,6695,4,-19.947300834788656,tm_induced_vert_break_recent1_minus_longterm
2024,68093,23462.0,1083,3,0.3112827739842635,tm_rel_height_pitch_type_adjusted_drift
2023,60140,,2697,4,-0.30123558347595275,tm_rel_height_pitch_type_adjusted_drift
2025,68093,,1140,4,0.2663947110276513,tm_rel_height_pitch_type_adjusted_drift
2024,68589,,1587,3,-0.216847712440576,tm_rel_height_pitch_type_adjusted_drift
2025,50592,,719,4,-0.20592329504115944,tm_rel_height_pitch_type_adjusted_drift
