pitcher_trackman_id,total_pitches,total_games,first_date,last_date,active_seasons,pitches_2019,pitches_2020,pitches_2021,pitches_2022,pitches_2023,pitches_2024,games_2019,games_2020,games_2021,games_2022,games_2023,games_2024
50574,183,9,2020-05-14,2020-09-24,1,0,183,0,0,0,0,0,9,0,0,0,0
50590,166,6,2020-10-06,2022-10-05,2,0,15,0,151,0,0,0,1,0,5,0,0
50592,719,43,2020-05-08,2024-06-18,4,0,419,216,0,13,71,0,27,13,0,1,2
50594,305,7,2020-05-10,2020-08-26,1,0,305,0,0,0,0,0,7,0,0,0,0
50596,909,24,2020-05-08,2024-07-19,4,0,68,86,0,107,648,0,1,6,0,4,13
50604,743,36,2020-05-13,2024-09-27,3,0,130,0,0,352,261,0,7,0,0,16,13
50613,671,30,2020-05-13,2023-08-03,4,0,44,229,45,353,0,0,3,9,2,16,0
50622,537,22,2020-09-22,2024-09-26,3,0,23,228,0,0,286,0,1,8,0,0,13
50637,76,3,2020-06-23,2020-09-23,1,0,76,0,0,0,0,0,3,0,0,0,0
50641,757,38,2020-05-14,2024-09-27,4,0,197,140,361,0,59,0,11,7,17,0,3
50650,1137,25,2020-05-22,2024-10-02,4,0,75,598,58,0,406,0,5,8,1,0,11
50662,2287,130,2020-05-13,2024-09-28,5,0,487,591,396,378,435,0,22,34,24,23,27
50705,3702,204,2020-05-06,2023-09-01,4,0,957,1105,882,758,0,0,56,54,53,41,0
50706,1102,31,2020-05-20,2021-09-19,2,0,483,619,0,0,0,0,11,20,0,0,0
50708,545,14,2020-05-21,2022-10-04,2,0,321,0,224,0,0,0,4,0,10,0,0
50710,1597,80,2020-05-12,2024-09-28,4,0,483,0,64,250,800,0,24,0,4,13,39
50711,1244,41,2020-05-28,2024-10-04,3,0,456,225,0,0,563,0,14,4,0,0,23
50712,167,8,2020-09-23,2020-10-22,1,0,167,0,0,0,0,0,8,0,0,0,0
50720,3521,69,2020-05-23,2024-08-16,5,0,222,224,1511,932,632,0,3,6,22,19,19
50726,3533,99,2020-05-12,2024-09-28,5,0,222,156,980,1166,1009,0,4,4,17,42,32
50758,968,25,2020-08-21,2023-04-29,3,0,274,640,0,54,0,0,7,17,0,1,0
50811,278,9,2021-04-08,2021-10-05,1,0,0,278,0,0,0,0,0,9,0,0,0
50812,2496,108,2020-05-14,2024-10-03,5,0,329,214,542,307,1104,0,15,17,31,15,30
50813,1728,36,2020-06-04,2023-09-21,3,0,332,923,0,473,0,0,6,21,0,9,0
50814,418,6,2020-06-02,2020-08-21,1,0,418,0,0,0,0,0,6,0,0,0,0
50818,22,1,2020-06-13,2020-06-13,1,0,22,0,0,0,0,0,1,0,0,0,0
50848,12,1,2024-04-11,2024-04-11,1,0,0,0,0,0,12,0,0,0,0,0,1
50859,9705,131,2020-07-24,2024-09-14,5,0,460,2199,2356,2511,2179,0,11,35,29,28,28
50900,676,33,2020-05-05,2024-10-02,3,0,188,0,0,74,414,0,11,0,0,4,18
50901,242,13,2020-07-31,2021-09-21,2,0,63,179,0,0,0,0,3,10,0,0,0
50904,1110,43,2021-05-09,2024-10-15,2,0,0,300,0,0,810,0,0,8,0,0,35
50905,1180,22,2020-06-23,2024-10-05,4,0,25,744,297,0,114,0,1,12,6,0,3
50911,163,6,2020-06-27,2023-05-12,4,0,20,27,91,25,0,0,1,1,3,1,0
50955,45,2,2022-04-07,2022-04-09,1,0,0,0,45,0,0,0,0,0,2,0,0
50992,3650,71,2020-05-16,2024-06-29,5,0,691,1126,1223,509,101,0,17,18,22,11,3
50995,1658,46,2020-07-26,2023-08-04,4,0,74,131,436,1017,0,0,2,5,23,16,0
51001,82,3,2021-04-24,2021-06-16,1,0,0,82,0,0,0,0,0,3,0,0,0
51006,14,1,2022-06-11,2022-06-11,1,0,0,0,14,0,0,0,0,0,1,0,0
51057,196,9,2021-09-08,2024-05-31,2,0,0,92,0,0,104,0,0,5,0,0,4
51058,2032,60,2021-04-06,2024-10-01,2,0,0,737,0,0,1295,0,0,34,0,0,26
51060,1753,40,2021-04-07,2022-09-02,2,0,0,639,1114,0,0,0,0,19,21,0,0
51097,2452,101,2022-06-03,2024-10-05,3,0,0,0,755,973,724,0,0,0,13,51,37
51104,42,3,2021-09-24,2024-09-28,3,0,0,14,18,0,10,0,0,1,1,0,1
51109,303,6,2023-04-08,2023-09-14,1,0,0,0,0,303,0,0,0,0,0,6,0
51110,1637,33,2021-04-18,2024-09-13,2,0,0,470,0,0,1167,0,0,16,0,0,17
51111,2936,55,2021-05-12,2024-09-25,4,0,0,548,1020,617,751,0,0,11,27,9,8
51143,2817,41,2021-05-14,2024-08-27,4,0,0,230,614,1280,693,0,0,5,8,19,9
51154,1087,26,2021-04-07,2024-10-04,3,0,0,238,0,9,840,0,0,8,0,1,17
51163,848,20,2021-04-10,2024-09-29,2,0,0,47,0,0,801,0,0,3,0,0,17
51201,179,10,2021-04-16,2021-09-10,1,0,0,179,0,0,0,0,0,10,0,0,0
51202,1322,63,2021-04-16,2024-09-18,4,0,0,113,412,170,627,0,0,5,20,10,28
51204,1547,29,2021-08-11,2023-04-28,3,0,0,208,1198,141,0,0,0,5,20,4,0
51230,4335,70,2021-07-06,2024-09-22,4,0,0,132,1177,1549,1477,0,0,4,24,20,22
51264,4907,118,2021-05-04,2024-10-03,4,0,0,837,1706,1859,505,0,0,29,43,34,12
51294,913,39,2021-06-17,2024-10-04,2,0,0,286,0,0,627,0,0,10,0,0,29
51296,166,6,2021-07-10,2024-09-03,2,0,0,30,0,0,136,0,0,1,0,0,5
51297,632,19,2021-09-04,2022-09-08,2,0,0,70,562,0,0,0,0,4,15,0,0
51298,23,1,2023-09-03,2023-09-03,1,0,0,0,0,23,0,0,0,0,0,1,0
51299,566,27,2021-04-16,2024-10-02,2,0,0,218,0,0,348,0,0,10,0,0,17
51301,2023,130,2021-04-14,2023-09-22,3,0,0,747,477,799,0,0,0,47,30,53,0
51306,1065,29,2021-04-13,2023-09-24,3,0,0,65,203,797,0,0,0,3,6,20,0
51359,3150,72,2021-04-06,2024-05-01,4,0,0,616,662,1861,11,0,0,24,19,28,1
51393,1138,57,2021-04-14,2024-05-31,4,0,0,373,291,442,32,0,0,19,14,22,2
51408,1371,65,2021-05-25,2024-06-01,4,0,0,134,404,488,345,0,0,7,21,24,13
51411,465,24,2021-05-26,2022-09-24,2,0,0,141,324,0,0,0,0,7,17,0,0
51454,4235,170,2021-04-15,2024-10-17,4,0,0,897,780,753,1805,0,0,47,54,44,25
51460,2442,50,2021-05-08,2024-09-14,4,0,0,956,814,417,255,0,0,14,11,11,14
51462,2752,47,2021-05-25,2024-10-01,4,0,0,79,930,720,1023,0,0,4,13,11,19
51516,4932,129,2021-04-09,2024-09-24,4,0,0,1014,1252,754,1912,0,0,39,21,45,24
51526,853,39,2023-07-06,2024-10-04,2,0,0,0,0,331,522,0,0,0,0,11,28
51546,1490,71,2021-04-09,2024-10-05,4,0,0,515,94,186,695,0,0,16,5,12,38
51564,367,18,2021-04-09,2024-10-01,3,0,0,170,0,29,168,0,0,9,0,2,7
51580,987,33,2022-04-07,2023-09-24,2,0,0,0,612,375,0,0,0,0,12,21,0
51586,1956,85,2021-04-06,2023-09-24,3,0,0,568,820,568,0,0,0,27,26,32,0
51592,921,27,2021-06-22,2024-10-02,3,0,0,185,0,43,693,0,0,11,0,3,13
51594,1620,83,2021-04-07,2024-09-28,4,0,0,758,104,143,615,0,0,30,4,6,43
51596,71,3,2021-08-29,2021-09-16,1,0,0,71,0,0,0,0,0,3,0,0,0
51597,252,10,2021-04-06,2021-06-02,1,0,0,252,0,0,0,0,0,10,0,0,0
51645,628,17,2021-04-11,2024-09-26,2,0,0,356,0,0,272,0,0,9,0,0,8
51648,3367,39,2021-04-08,2024-05-29,4,0,0,668,1245,1221,233,0,0,8,14,14,3
51665,530,18,2021-04-08,2023-06-14,3,0,0,366,147,17,0,0,0,14,3,1,0
51668,478,20,2021-04-07,2022-07-09,2,0,0,200,278,0,0,0,0,10,10,0,0
51702,558,17,2021-06-22,2022-06-15,2,0,0,256,302,0,0,0,0,10,7,0,0
51705,198,8,2021-08-11,2024-09-19,2,0,0,50,0,0,148,0,0,3,0,0,5
51713,2916,152,2021-04-07,2024-10-03,4,0,0,581,679,551,1105,0,0,17,36,38,61
51715,5230,109,2021-04-06,2024-10-04,4,0,0,1319,1109,1300,1502,0,0,18,16,42,33
51761,2022,83,2021-04-08,2024-10-04,4,0,0,1264,267,45,446,0,0,34,17,3,29
51796,708,11,2021-04-17,2024-09-06,2,0,0,463,0,0,245,0,0,6,0,0,5
51809,1083,67,2021-04-06,2023-09-03,3,0,0,493,487,103,0,0,0,28,32,7,0
51865,75,2,2021-07-09,2021-08-11,1,0,0,75,0,0,0,0,0,2,0,0,0
51867,1673,29,2021-04-08,2024-10-02,3,0,0,754,706,0,213,0,0,13,10,0,6
51895,2721,137,2021-04-06,2024-09-24,4,0,0,1390,806,52,473,0,0,66,40,5,26
51897,2607,109,2021-04-24,2024-09-30,4,0,0,735,348,310,1214,0,0,13,6,18,72
51901,417,21,2022-04-06,2022-10-06,1,0,0,0,417,0,0,0,0,0,21,0,0
51948,4719,78,2021-09-04,2024-09-28,4,0,0,231,1383,1500,1605,0,0,6,23,27,22
51994,2348,137,2021-05-22,2024-10-04,4,0,0,249,749,486,864,0,0,12,43,27,55
51996,20,1,2024-06-14,2024-06-14,1,0,0,0,0,0,20,0,0,0,0,0,1
52003,644,10,2022-04-08,2022-08-06,1,0,0,0,644,0,0,0,0,0,10,0,0
52004,188,8,2022-05-25,2022-09-16,1,0,0,0,188,0,0,0,0,0,8,0,0
52005,820,38,2022-04-08,2022-10-06,1,0,0,0,820,0,0,0,0,0,38,0,0
52006,110,5,2022-05-25,2022-10-06,1,0,0,0,110,0,0,0,0,0,5,0,0
52007,652,24,2022-05-03,2023-06-16,2,0,0,0,500,152,0,0,0,0,20,4,0
52060,3590,199,2022-04-03,2024-10-09,3,0,0,0,989,1326,1275,0,0,0,56,75,68
52063,661,11,2022-04-07,2022-09-09,1,0,0,0,661,0,0,0,0,0,11,0,0
52065,133,7,2022-05-14,2022-06-11,1,0,0,0,133,0,0,0,0,0,7,0,0
52119,998,62,2022-04-20,2024-09-14,3,0,0,0,453,183,362,0,0,0,27,13,22
52123,261,13,2022-09-03,2023-09-12,2,0,0,0,101,160,0,0,0,0,4,9,0
52140,217,13,2022-04-28,2023-09-12,2,0,0,0,122,95,0,0,0,0,8,5,0
52149,1368,23,2022-04-26,2023-08-26,2,0,0,0,569,799,0,0,0,0,10,13,0
52163,112,7,2022-04-06,2022-09-24,1,0,0,0,112,0,0,0,0,0,7,0,0
52168,102,2,2022-04-09,2024-06-14,2,0,0,0,58,0,44,0,0,0,1,0,1
52202,112,3,2024-09-22,2024-10-03,1,0,0,0,0,0,112,0,0,0,0,0,3
52203,198,6,2022-05-28,2022-09-02,1,0,0,0,198,0,0,0,0,0,6,0,0
52204,2294,138,2022-07-29,2024-10-03,3,0,0,0,285,942,1067,0,0,0,15,53,70
52206,2632,112,2022-05-10,2024-09-10,3,0,0,0,1067,708,857,0,0,0,19,41,52
52208,10,1,2022-08-21,2022-08-21,1,0,0,0,10,0,0,0,0,0,1,0,0
52257,66,1,2022-07-30,2022-07-30,1,0,0,0,66,0,0,0,0,0,1,0,0
52295,1744,31,2022-07-29,2024-05-08,3,0,0,0,371,1279,94,0,0,0,7,20,4
52330,2904,91,2022-04-14,2024-09-27,3,0,0,0,527,1573,804,0,0,0,11,25,55
52391,135,6,2022-04-13,2023-09-07,2,0,0,0,64,71,0,0,0,0,2,4,0
52392,64,6,2022-08-25,2024-08-20,2,0,0,0,46,0,18,0,0,0,4,0,2
52394,1918,53,2022-04-05,2024-09-28,3,0,0,0,401,768,749,0,0,0,13,17,23
52395,1986,87,2022-07-29,2024-09-30,3,0,0,0,208,795,983,0,0,0,8,39,40
52396,532,27,2023-04-19,2024-09-28,2,0,0,0,0,115,417,0,0,0,0,7,20
52397,2446,107,2022-04-12,2024-09-04,3,0,0,0,674,1145,627,0,0,0,35,46,26
52417,785,40,2022-05-22,2023-08-12,2,0,0,0,152,633,0,0,0,0,10,30,0
52440,316,9,2022-05-22,2023-09-03,2,0,0,0,151,165,0,0,0,0,6,3,0
52460,690,34,2022-05-22,2024-04-23,3,0,0,0,273,227,190,0,0,0,15,13,6
52530,2668,68,2022-04-05,2024-10-04,3,0,0,0,1303,27,1338,0,0,0,37,1,30
52558,1755,66,2022-04-06,2024-10-05,3,0,0,0,432,816,507,0,0,0,19,28,19
52560,567,26,2022-04-07,2024-10-03,2,0,0,0,299,0,268,0,0,0,15,0,11
52562,488,17,2022-04-06,2022-10-05,1,0,0,0,488,0,0,0,0,0,17,0,0
52569,194,9,2022-04-06,2022-10-05,1,0,0,0,194,0,0,0,0,0,9,0,0
52629,76,2,2022-05-26,2022-06-03,1,0,0,0,76,0,0,0,0,0,2,0,0
52639,1284,75,2022-04-08,2024-09-28,3,0,0,0,245,517,522,0,0,0,14,28,33
52641,2212,36,2022-05-26,2024-09-27,3,0,0,0,133,886,1193,0,0,0,4,13,19
52649,131,6,2022-04-10,2022-08-12,1,0,0,0,131,0,0,0,0,0,6,0,0
52659,688,24,2022-04-08,2023-09-24,2,0,0,0,262,426,0,0,0,0,7,17,0
52661,738,26,2022-05-25,2024-09-28,3,0,0,0,383,267,88,0,0,0,9,13,4
52701,4354,61,2022-04-30,2024-09-03,3,0,0,0,670,1882,1802,0,0,0,18,22,21
52702,723,27,2023-04-08,2024-08-13,2,0,0,0,0,398,325,0,0,0,0,12,15
52703,284,13,2022-04-05,2023-06-18,2,0,0,0,196,88,0,0,0,0,9,4,0
52711,290,14,2022-05-17,2023-08-08,2,0,0,0,219,71,0,0,0,0,10,4,0
52714,1185,17,2022-04-20,2024-09-18,2,0,0,0,215,0,970,0,0,0,3,0,14
52715,1161,18,2022-04-07,2023-08-08,2,0,0,0,1087,74,0,0,0,0,16,2,0
52716,69,2,2022-05-29,2022-06-03,1,0,0,0,69,0,0,0,0,0,2,0,0
52731,2050,40,2022-04-07,2023-09-27,2,0,0,0,1082,968,0,0,0,0,16,24,0
52802,301,14,2022-04-14,2024-10-03,2,0,0,0,184,0,117,0,0,0,10,0,4
52809,992,21,2022-04-13,2024-09-25,3,0,0,0,894,38,60,0,0,0,16,1,4
52844,1353,42,2022-04-12,2023-09-24,2,0,0,0,788,565,0,0,0,0,17,25,0
52864,596,21,2022-04-14,2023-09-23,2,0,0,0,329,267,0,0,0,0,12,9,0
52867,728,18,2022-04-21,2023-08-27,2,0,0,0,604,124,0,0,0,0,15,3,0
52868,1637,46,2022-04-14,2024-09-07,3,0,0,0,325,618,694,0,0,0,14,17,15
52873,3070,63,2022-04-14,2024-10-05,3,0,0,0,1217,769,1084,0,0,0,19,22,22
52895,215,11,2022-09-16,2023-09-23,2,0,0,0,29,186,0,0,0,0,2,9,0
52901,977,50,2022-04-28,2023-09-15,2,0,0,0,299,678,0,0,0,0,17,33,0
52902,720,39,2022-04-07,2023-05-27,2,0,0,0,432,288,0,0,0,0,24,15,0
52903,1893,78,2022-04-03,2024-09-24,3,0,0,0,626,574,693,0,0,0,31,37,10
52905,1324,31,2022-05-14,2024-09-18,3,0,0,0,313,839,172,0,0,0,9,15,7
52992,989,16,2022-04-09,2023-04-28,2,0,0,0,901,88,0,0,0,0,14,2,0
52994,1371,60,2022-04-06,2024-10-05,3,0,0,0,851,118,402,0,0,0,33,8,19
52995,1277,25,2022-04-07,2023-04-30,2,0,0,0,1035,242,0,0,0,0,17,8,0
53004,448,22,2023-04-09,2023-09-09,1,0,0,0,0,448,0,0,0,0,0,22,0
53005,1044,23,2023-04-09,2024-09-11,2,0,0,0,0,836,208,0,0,0,0,12,11
53006,1931,64,2023-04-08,2024-10-05,2,0,0,0,0,765,1166,0,0,0,0,35,29
53007,420,12,2023-04-07,2023-09-10,1,0,0,0,0,420,0,0,0,0,0,12,0
53029,1151,42,2023-04-19,2024-09-25,2,0,0,0,0,816,335,0,0,0,0,32,10
53049,868,13,2023-04-08,2024-04-11,2,0,0,0,0,809,59,0,0,0,0,12,1
53096,96,5,2023-09-10,2024-04-30,2,0,0,0,0,22,74,0,0,0,0,1,4
53101,80,4,2023-05-09,2023-09-12,1,0,0,0,0,80,0,0,0,0,0,4,0
53102,227,9,2024-04-03,2024-10-05,1,0,0,0,0,0,227,0,0,0,0,0,9
53139,1428,89,2023-04-01,2024-09-27,2,0,0,0,0,938,490,0,0,0,0,54,35
53164,2252,35,2023-04-09,2024-09-28,2,0,0,0,0,947,1305,0,0,0,0,14,21
53201,31,2,2023-08-27,2023-09-24,1,0,0,0,0,31,0,0,0,0,0,2,0
53202,401,15,2023-04-08,2023-06-24,1,0,0,0,0,401,0,0,0,0,0,15,0
53203,220,12,2023-04-16,2023-06-22,1,0,0,0,0,220,0,0,0,0,0,12,0
53259,1839,28,2023-05-25,2024-10-04,2,0,0,0,0,416,1423,0,0,0,0,6,22
53262,2509,48,2023-04-07,2024-10-02,2,0,0,0,0,1033,1476,0,0,0,0,21,27
53297,520,28,2023-05-20,2024-09-25,2,0,0,0,0,222,298,0,0,0,0,15,13
53298,694,39,2023-04-22,2024-04-14,2,0,0,0,0,647,47,0,0,0,0,37,2
53300,1295,39,2023-04-18,2024-10-02,2,0,0,0,0,730,565,0,0,0,0,24,15
53301,759,42,2024-03-31,2024-10-03,1,0,0,0,0,0,759,0,0,0,0,0,42
53312,412,17,2023-06-08,2024-04-21,2,0,0,0,0,254,158,0,0,0,0,14,3
53409,665,22,2023-04-09,2024-10-05,2,0,0,0,0,106,559,0,0,0,0,4,18
53415,141,6,2023-04-09,2023-09-10,1,0,0,0,0,141,0,0,0,0,0,6,0
53428,21,1,2023-09-10,2023-09-10,1,0,0,0,0,21,0,0,0,0,0,1,0
53455,2101,35,2023-04-01,2024-10-03,2,0,0,0,0,561,1540,0,0,0,0,10,25
53464,331,10,2023-04-09,2023-06-20,1,0,0,0,0,331,0,0,0,0,0,10,0
53469,636,35,2023-04-09,2024-10-05,2,0,0,0,0,445,191,0,0,0,0,24,11
53504,332,19,2023-04-13,2023-09-21,1,0,0,0,0,332,0,0,0,0,0,19,0
53540,270,5,2023-04-06,2023-05-16,1,0,0,0,0,270,0,0,0,0,0,5,0
53560,679,32,2023-04-04,2023-10-15,1,0,0,0,0,679,0,0,0,0,0,32,0
53562,592,26,2023-04-01,2024-09-25,2,0,0,0,0,412,180,0,0,0,0,22,4
53584,238,12,2023-05-23,2023-09-12,1,0,0,0,0,238,0,0,0,0,0,12,0
53594,564,39,2023-04-01,2024-09-01,2,0,0,0,0,530,34,0,0,0,0,37,2
53596,432,17,2023-04-04,2023-09-24,1,0,0,0,0,432,0,0,0,0,0,17,0
53609,921,57,2023-04-14,2024-09-16,2,0,0,0,0,459,462,0,0,0,0,24,33
53613,1821,22,2023-04-08,2024-09-28,2,0,0,0,0,920,901,0,0,0,0,11,11
53615,56,2,2024-09-26,2024-09-28,1,0,0,0,0,0,56,0,0,0,0,0,2
53627,35,2,2023-06-13,2023-07-09,1,0,0,0,0,35,0,0,0,0,0,2,0
53637,20,1,2023-04-09,2023-04-09,1,0,0,0,0,20,0,0,0,0,0,1,0
53701,363,7,2023-04-07,2023-09-17,1,0,0,0,0,363,0,0,0,0,0,7,0
53703,43,1,2023-04-30,2023-04-30,1,0,0,0,0,43,0,0,0,0,0,1,0
53704,180,6,2023-05-13,2024-09-27,2,0,0,0,0,72,108,0,0,0,0,2,4
53709,26,1,2023-04-28,2023-04-28,1,0,0,0,0,26,0,0,0,0,0,1,0
53711,975,39,2023-04-19,2024-10-03,2,0,0,0,0,512,463,0,0,0,0,17,22
53754,2037,81,2023-04-04,2024-09-28,2,0,0,0,0,1132,905,0,0,0,0,32,49
53805,157,8,2023-05-04,2023-07-02,1,0,0,0,0,157,0,0,0,0,0,8,0
53806,429,19,2023-05-04,2024-04-11,2,0,0,0,0,321,108,0,0,0,0,16,3
53808,97,5,2023-07-25,2023-09-10,1,0,0,0,0,97,0,0,0,0,0,5,0
53809,838,34,2023-07-02,2024-10-04,2,0,0,0,0,58,780,0,0,0,0,3,31
53892,2151,106,2023-04-02,2024-09-27,2,0,0,0,0,1084,1067,0,0,0,0,49,57
53897,794,26,2023-07-02,2024-10-04,2,0,0,0,0,132,662,0,0,0,0,7,19
53898,2771,47,2023-04-02,2024-09-23,2,0,0,0,0,1084,1687,0,0,0,0,22,25
53914,654,17,2023-09-07,2024-10-01,2,0,0,0,0,121,533,0,0,0,0,2,15
53919,2213,31,2023-04-08,2024-10-04,2,0,0,0,0,1210,1003,0,0,0,0,15,16
53973,949,17,2023-05-04,2024-09-08,2,0,0,0,0,53,896,0,0,0,0,3,14
53993,54,2,2024-08-16,2024-09-07,1,0,0,0,0,0,54,0,0,0,0,0,2
53995,63,2,2023-05-27,2023-06-13,1,0,0,0,0,63,0,0,0,0,0,2,0
53996,2515,67,2023-04-06,2024-09-27,2,0,0,0,0,1317,1198,0,0,0,0,25,42
53999,86,4,2024-08-18,2024-09-05,1,0,0,0,0,0,86,0,0,0,0,0,4
54006,50,2,2024-04-05,2024-04-10,1,0,0,0,0,0,50,0,0,0,0,0,2
54010,104,6,2024-04-11,2024-05-25,1,0,0,0,0,0,104,0,0,0,0,0,6
54013,54,3,2024-08-29,2024-09-11,1,0,0,0,0,0,54,0,0,0,0,0,3
54014,483,21,2024-05-18,2024-10-02,1,0,0,0,0,0,483,0,0,0,0,0,21
54063,1597,27,2024-03-28,2024-09-16,1,0,0,0,0,0,1597,0,0,0,0,0,27
54064,811,14,2024-03-30,2024-06-26,1,0,0,0,0,0,811,0,0,0,0,0,14
54094,161,9,2024-06-06,2024-09-06,1,0,0,0,0,0,161,0,0,0,0,0,9
54103,142,6,2024-04-14,2024-07-31,1,0,0,0,0,0,142,0,0,0,0,0,6
54104,306,17,2024-04-14,2024-08-01,1,0,0,0,0,0,306,0,0,0,0,0,17
54105,762,35,2024-03-27,2024-08-29,1,0,0,0,0,0,762,0,0,0,0,0,35
54149,813,47,2024-03-30,2024-10-05,1,0,0,0,0,0,813,0,0,0,0,0,47
54213,504,23,2024-05-17,2024-10-03,1,0,0,0,0,0,504,0,0,0,0,0,23
54215,525,11,2024-05-11,2024-10-02,1,0,0,0,0,0,525,0,0,0,0,0,11
54217,382,12,2024-06-29,2024-09-26,1,0,0,0,0,0,382,0,0,0,0,0,12
54221,44,2,2024-04-19,2024-09-26,1,0,0,0,0,0,44,0,0,0,0,0,2
54263,1185,56,2024-03-23,2024-10-03,1,0,0,0,0,0,1185,0,0,0,0,0,56
54301,32,2,2024-09-28,2024-10-02,1,0,0,0,0,0,32,0,0,0,0,0,2
54302,476,24,2024-03-31,2024-10-02,1,0,0,0,0,0,476,0,0,0,0,0,24
54304,360,17,2024-05-25,2024-09-27,1,0,0,0,0,0,360,0,0,0,0,0,17
54319,1700,25,2024-03-26,2024-09-26,1,0,0,0,0,0,1700,0,0,0,0,0,25
54350,543,28,2024-03-31,2024-09-17,1,0,0,0,0,0,543,0,0,0,0,0,28
54362,1102,31,2024-03-29,2024-10-03,1,0,0,0,0,0,1102,0,0,0,0,0,31
54363,777,14,2024-03-27,2024-09-29,1,0,0,0,0,0,777,0,0,0,0,0,14
54368,805,40,2024-03-26,2024-09-30,1,0,0,0,0,0,805,0,0,0,0,0,40
54401,998,14,2024-04-07,2024-08-31,1,0,0,0,0,0,998,0,0,0,0,0,14
54402,1080,23,2024-04-02,2024-10-02,1,0,0,0,0,0,1080,0,0,0,0,0,23
54403,428,24,2024-04-26,2024-10-04,1,0,0,0,0,0,428,0,0,0,0,0,24
54404,956,26,2024-04-06,2024-10-03,1,0,0,0,0,0,956,0,0,0,0,0,26
54405,78,3,2024-04-10,2024-04-26,1,0,0,0,0,0,78,0,0,0,0,0,3
54406,139,6,2024-04-09,2024-05-25,1,0,0,0,0,0,139,0,0,0,0,0,6
